
S&P 500 INDEX,Last: 6824.6602,Change:  41.8502
Date: 10 avril 2026 à 04:32 UTC−4,Bid: 6773.48,Ask: 6860.2598,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Thu Jun 18 2026,SPX260618C00800000,0,0,6005.6,6017.1,0,1.6189,1,0,0,800.00,SPX260618P00800000,0.1,0,0,0.2,0,1.4422,-0.0001,0,10324
Thu Jun 18 2026,SPX260618C01000000,5427.82,0,5807.1,5818.6,0,1.439,1,0,1021,1000.00,SPX260618P01000000,0.1,0,0,0.25,0,1.3114,-0.0002,0,22887
Thu Jun 18 2026,SPX260618C01200000,5555.64,0,5608.7,5620.2,0,1.3172,1,0,77,1200.00,SPX260618P01200000,0.2,0.075,0,0.3,4,1.2027,-0.0002,0,9842
Thu Jun 18 2026,SPX260618C01400000,5497.74,0,5410.3,5421.8,0,1.204,1,0,3,1400.00,SPX260618P01400000,0.15,-0.05,0,0.3,11,1.0972,-0.0003,0,11461
Thu Jun 18 2026,SPXW260618C01400000,5123.25,0,5410.3,5421.8,0,1.2567,1,0,99,1400.00,SPXW260618P01400000,0.15,-0.05,0,0.25,109,1.0811,-0.0003,0,7129
Thu Jun 18 2026,SPX260618C01600000,4788.9,0,5211.8,5223.3,0,1.1064,1,0,2,1600.00,SPX260618P01600000,0.2,-0.05,0.05,0.35,294,1.0275,-0.0004,0,8302
Thu Jun 18 2026,SPXW260618C01600000,0,0,5211.9,5223.4,0,1.1601,0.9999,0,0,1600.00,SPXW260618P01600000,0.18,-0.07,0.05,0.35,230,1.0254,-0.0004,0,291
Thu Jun 18 2026,SPX260618C01800000,0,0,5013.4,5024.9,0,1.0285,0.9998,0,0,1800.00,SPX260618P01800000,0.17,-0.13,0.1,0.4,89,0.9618,-0.0005,0,6355
Thu Jun 18 2026,SPXW260618C01800000,0,0,5013.5,5025,0,1.0747,0.9998,0,0,1800.00,SPXW260618P01800000,0.21,-0.115,0.1,0.4,82,0.9599,-0.0005,0,177
Thu Jun 18 2026,SPX260618C02000000,4825.8,52.9499,4815.2,4826.7,100,0.9186,0.9997,0,1825,2000.00,SPX260618P02000000,0.3,-0.2,0.15,0.5,102,0.9062,-0.0006,0,9323
Thu Jun 18 2026,SPXW260618C02000000,4611.27,0,4815.1,4826.6,0,0.9981,0.9997,0,40,2000.00,SPXW260618P02000000,0.5,0,0.2,0.5,0,0.9098,-0.0006,0,627
Thu Jun 18 2026,SPX260618C02200000,4521.11,0,4616.7,4628.2,0,0.9042,0.9996,0,4,2200.00,SPX260618P02200000,0.47,-0.13,0.3,0.65,7,0.8644,-0.0008,0,6329
Thu Jun 18 2026,SPXW260618C02200000,0,0,4616.7,4628.2,0,0.9285,0.9995,0,0,2200.00,SPXW260618P02200000,0.55,0,0.3,0.6,0,0.8589,-0.0008,0,451
Thu Jun 18 2026,SPX260618C02300000,3944.91,0,4517.5,4529,0,0.8731,0.9995,0,2,2300.00,SPX260618P02300000,0.65,0,0.35,0.7,0,0.8388,-0.0009,0,2414
